Address,City,County,Id,License,State,Structure Type,Latitude,Longitude,Structure
MP246 Parks Hwy   (93962),Healy,DENALI,384,AT&T,AK,GTOWER,63.837222222,-148.980277778,61.9
MP275 PARKS HWY   (115228),Healy,DENALI,383,AT&T,AK,LTOWER,64.212694444,-149.311416667,58.5
4012 Ester Dome Rd.   (93958),FAIRBANKS,FAIRBANKS NORTH STAR,382,AT&T,AK,LTOWER,64.879138889,-148.055055556,22.9
"Lot 1, Block 6, 4th of July Creek (94033)",Seward,KENAI PENINSULA,20417,AT&T,AK,LTOWER,60.083388889,-149.344722222,60.7
6 MILES E OF STERLING HIGHWAY ON JOHNS ROAD  (94015),NAPTOWNE,KENAI PENINSULA,20418,AT&T,AK,LTOWER,60.529444444,-150.583333333,80.8
Mi. 165 Glenn Highway  (94042),Glenallen,VALDEZ-CORDOVA,20420,AT&T,AK,GTOWER,62.108138889,-146.175527778,48.8
MILE 105 GLENN HIGHWAY  (94035),Sutton,MATANUSKA-SUSITNA,20421,AT&T,AK,LTOWER,61.788027778,-147.674333333,48.5
37733 West Point Mackenzie Road (126724),Wasilla,MATANUSKA-SUSITNA,20496,AT&T,AK,MTOWER,61.286805556,-149.932055556,43.6
"Bear Valley Road, 4.8 miles N of Seward (94040)",Seward,KENAI PENINSULA,20495,AT&T,AK,MTOWER,60.182111111,-149.373611111,53.6
1 MILE SOUTH OF DAYVILLE ROAD (94046),VALDEZ,VALDEZ-CORDOVA,20494,AT&T,AK,MTOWER,61.072138889,-146.202027778,30.8
5432 Kenai Spur Rd (112129),Kenai,KENAI PENINSULA,20493,AT&T,AK,MTOWER,60.741833333,-151.219861111,37.5
16725 E Maud Rd (110422),Palmer,MATANUSKA-SUSITNA,20492,AT&T,AK,LTOWER,61.585527778,-149.028722222,45.7
MILE 118 GLENN HIGHWAY  (94041),Sutton,MATANUSKA-SUSITNA,20422,AT&T,AK,LTOWER,61.8325,-147.3275,36.6
7 MILES N OF  (94038),ANCHOR POINT,KENAI PENINSULA,20423,AT&T,AK,LTOWER,59.881,-151.786222222,98.2
11.6 miles East of Talkeetna  (93984),Talkeetna,MATANUSKA-SUSITNA,20424,AT&T,AK,LTOWER,62.308111111,-149.754472222,7.6
Mile 85 Glenn Highway  (94029),Sutton,MATANUSKA-SUSITNA,20425,AT&T,AK,LTOWER,61.806972222,-148.334444444,45.7
18 Mi. S of Copper Center  (94052),Glenallen,VALDEZ-CORDOVA,20426,AT&T,AK,LTOWER,61.772777778,-145.198388889,31.1
Mile Post 28.5 Seward Highway (94013),Moose Pass,KENAI PENINSULA,20427,AT&T,AK,LTOWER,60.476111111,-149.368888889,26.8
MILE MARKER 181 RICHARDSON HIGHWAY  (94023),GLENNALLEN,VALDEZ-CORDOVA,20428,AT&T,AK,LTOWER,62.967916667,-145.469611111,95.1
JUNEAU CREEK ROAD (93991),Kenai,KENAI PENINSULA,20429,AT&T,AK,LTOWER,60.493777778,-149.868416667,25
MILE 025 ENGSTROM ROAD (94017),PALMER,MATANUSKA-SUSITNA,20430,AT&T,AK,LTOWER,61.62,-149.256111111,61.3
MILE 12 TOK CUTOFF  (93983),GLENNALLEN,VALDEZ-CORDOVA,20431,AT&T,AK,LTOWER,62.41225,-145.109083333,97.2
MILE POST 8.4 LAKE LOUISE ROAD  (94009),GLENNALLEN,VALDEZ-CORDOVA,20432,AT&T,AK,LTOWER,62.162694444,-146.500638889,59.1
MI 12 Hatcher Pass Road  (94051),Willow,MATANUSKA-SUSITNA,20433,AT&T,AK,MTOWER,61.7715,-149.754416667,31.7
61950 Skyline Drive (94000),Homer,KENAI PENINSULA,20434,AT&T,AK,MTOWER,59.671055556,-151.50875,29.3
